AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
PIEGAY H;42;1045;7;182;59;piegay h;5,30267551106247e+05;9,36241924913398e-05;2,67141947339179e-03;c01
MARMONIER P;29;1069;5;197;68;marmonier p;4,23477408861513e+05;9,45537065052950e-05;1,87780531834657e-03;c01
EYROLLE F;26;447;11;219;77;eyrolle f;2,75536440316422e+05;9,00576368876081e-05;1,46735054188057e-03;c05
RADAKOVITCH O;26;953;3;195;94;radakovitch o;5,23762875414988e+05;9,29800092980009e-05;1,90576374457219e-03;c02
PONT D;25;991;6;409;212;pont d;2,30727550584677e+05;8,49834282314949e-05;1,37667429335883e-03;c04
RABOUILLE C;21;721;1;189;23;rabouille c;1,78703091056458e+05;8,00832866180828e-05;1,80861239975823e-03;c06
AMOROS C;19;965;1;62;88;amoros c;7,77028429203981e+04;7,97638988593762e-05;9,89967492080176e-04;c01
OLIVIER JM;19;565;1;77;59;olivier jm;3,23878934703618e+05;9,07852927825692e-05;1,61946021689732e-03;c01
LAMOUROUX N;18;777;6;323;91;lamouroux n;2,63444188523793e+05;8,92618048736945e-05;1,51011864075982e-03;c11
BORNETTE G;17;789;9;362;88;bornette g;9,99966948300105e+04;8,20479159829340e-05;1,35209188520870e-03;c01
CASTELLA E;17;436;2;84;57;castella e;3,60962071126199e+05;8,21422704123542e-05;1,20149777302569e-03;c01
CHARMASSON S;17;481;3;93;66;charmasson s;1,01128776178778e+05;8,22165584148648e-05;9,86254885881265e-04;c02
LE COZ J;17;178;2;28;9;le coz j;2,16452197468164e+05;9,12325517744731e-05;1,13492961658522e-03;c08
DE MADRON XD;16;945;2;207;132;de madron xd;1,10089002698681e+05;8,35770998746343e-05;1,47676456599843e-03;c02
MOURIER B;16;258;2;60;31;mourier b;2,19811579011257e+05;9,07194048807040e-05;1,17907853514640e-03;c07
ESTOURNEL C;15;685;4;310;99;estournel c;1,28354679400772e+05;8,21895290539985e-05;1,53023723467980e-03;c02
HEUSSNER S;15;1053;1;45;30;heussner s;1,94759213010657e+05;8,33263894675444e-05;1,30340368497714e-03;c02
ANTONELLI C;14;272;3;108;91;antonelli c;5,97725546895056e+04;8,45451471085560e-05;8,41657813485731e-04;c05
GREMARE A;14;422;1;67;20;gremare a;8,72045823024379e+04;7,39863865048831e-05;1,15409667972570e-03;c06
LOIZEAU JL;14;271;3;98;42;loizeau jl;1,77840072028178e+05;5,34616412723871e-05;1,44218338418435e-03;c10
NAUDIN JJ;14;488;4;146;71;naudin jj;5,70885330408892e+04;7,57231561411480e-05;9,90629040747935e-04;c03
PROVANSAL M;14;343;5;81;68;provansal m;5,33054168725379e+04;7,76156473144986e-05;6,55845403405502e-04;c05
RAIMBAULT P;14;331;0;0;46;raimbault p;2,92690516202492e+05;9,22424130615257e-05;1,68359835835268e-03;NA
SALIOT A;14;893;1;15;19;saliot a;1,34319293684722e+04;6,79994560043520e-05;5,55070456049243e-04;NA
CELLOT B;13;419;7;206;63;cellot b;5,39593062596646e+04;7,86410821012897e-05;5,12138108772903e-04;c01
CLARET C;13;277;7;205;26;claret c;9,93955735378912e+04;8,68206285813509e-05;7,32431230943293e-04;c01
GRENZ C;13;436;0;0;9;grenz c;4,87059942784036e+04;7,83760482796457e-05;6,20038881985705e-04;c02
