id_doc;community;weight;AU;PY;TI;SO;DE
CHEVENET F, 1994, FRESHW BIOL;c1;1,000000000000000;"CHEVENET F;DOLEDEC S;CHESSEL D";1994;A FUZZY CODING APPROACH FOR THE ANALYSIS OF LONG-TERM ECOLOGICAL DATA;FRESHWATER BIOLOGY;NA
FERNANDES MB, 1997, MAR POLLUT BULL;NA;1,000000000000000;"FERNANDES MB;SICRE MA;BOIREAU A;TRONCZYNSKI J";1997;POLYAROMATIC HYDROCARBON (PAH) DISTRIBUTIONS IN THE SEINE RIVER AND ITS ESTUARY;MARINE POLLUTION BULLETIN;NA
MALARD F, 2002, FRESHW BIOL;c1;1,000000000000000;"MALARD F;TOCKNER K;DOLE-OLIVIER MJ;WARD JV";2002;A LANDSCAPE PERSPECTIVE OF SURFACE-SUBSURFACE HYDROLOGICAL EXCHANGES IN RIVER CORRIDORS;FRESHWATER BIOLOGY;"GROUND WATER; HYPORHEIC ZONE; INTERSTITIAL FAUNA; NUTRIENT; SPATIAL; CONFIGURATION; STREAM"
ZHANG J, 1996, CONT SHELF RES;NA;1,000000000000000;ZHANG J;1996;NUTRIENT ELEMENTS IN LARGE CHINESE ESTUARIES;CONTINENTAL SHELF RESEARCH;NA
TOLOSA I, 1996, ENVIRON SCI TECHNOL;NA;1,000000000000000;"TOLOSA I;BAYONA JM;ALBAIGES J";1996;ALIPHATIC AND POLYCYCLIC AROMATIC HYDROCARBONS AND SULFUR/OXYGEN DERIVATIVES IN NORTHWESTERN MEDITERRANEAN SEDIMENTS: SPATIAL AND TEMPORAL VARIABILITY, FLUXES, AND BUDGETS;ENVIRONMENTAL SCIENCE \& TECHNOLOGY;NA
MEYBECK M, 2003, GLOB PLANET CHANGE;NA;1,000000000000000;"MEYBECK M;LAROCHE L;DURR HH;SYVITSKI JPM";2003;GLOBAL VARIABILITY OF DAILY TOTAL SUSPENDED SOLIDS AND THEIR FLUXES IN RIVERS;GLOBAL AND PLANETARY CHANGE;"SEDIMENT CONCENTRATION; SEDIMENT FLUX; RIVER REGIMES; GLOBAL SCALE; TIME; VARIABILITY"
WYNN RB, 2007, MAR PET GEOL;NA;1,000000000000000;"WYNN RB;CRONIN BT;PEAKALL J";2007;SINUOUS DEEP-WATER CHANNELS: GENESIS, GEOMETRY AND ARCHITECTURE;MARINE AND PETROLEUM GEOLOGY;"SINUOUS CHANNELS; CHANNEL-LEVEE SYSTEMS; TURBIDITES; SUBMARINE FANS; TURBIDITY CURRENTS"
DOLEDEC S, 1999, FRESHW BIOL;c1;1,000000000000000;"DOLEDEC S;STATZNER B;BOURNARD M";1999;SPECIES TRAITS FOR FUTURE BIOMONITORING ACROSS ECOREGIONS: PATTERNS ALONG A HUMAN-IMPACTED RIVER;FRESHWATER BIOLOGY;"BIOMONITORING; COMMUNITY STRUCTURE; HUMAN IMPACT; MACROINVERTEBRATES; SPECIES TRAITS"
DAUFRESNE M, 2004, GLOB CHANGE BIOL;NA;0,400000000000000;"DAUFRESNE M;ROGER MC;CAPRA H;LAMOUROUX N";2004;LONG-TERM CHANGES WITHIN THE INVERTEBRATE AND FISH COMMUNITIES OF THE UPPER RHONE RIVER: EFFECTS OF CLIMATIC FACTORS;GLOBAL CHANGE BIOLOGY;"CLIMATE CHANGE; FISH; FRESHWATER; INVERTEBRATE; LONG-TERM SERIES; RHONE; RIVER"
PALANQUES A, 2006, MAR GEOL;c3;1,000000000000000;"PALANQUES A;DE MADRON XD;PUIG J;GUILLEN J;CALAFAT A;CANALS M;HEUSSNER S;BONNIN J";2006;SUSPENDED SEDIMENT FLUXES AND TRANSPORT PROCESSES IN THE GULF OF LIONS SUBMARINE CANYONS. THE ROLE OF STORMS AND DENSE WATER CASCADING;MARINE GEOLOGY;"SUSPENDED SEDIMENT TRANSPORT; SUBMARINE CANYON; GULF OF LIONS; STORM; EVENTS; CASCADING EVENTS"
DOLEOLIVIER MJ, 1997, FRESHW BIOL;c1;1,000000000000000;"DOLEOLIVIER MJ;MARMONIER P;BEFFY JL";1997;RESPONSE OF INVERTEBRATES TO LOTIC DISTURBANCE: IS THE HYPORHEIC ZONE A PATCHY REFUGIUM?;FRESHWATER BIOLOGY;NA
RABOUILLE C, 2008, CONT SHELF RES;c6;1,000000000000000;"RABOUILLE C;CONLEY DJ;DAI MH;CAI WJ;CHEN CTA;LANSARD B;GREEN R;YIN K;HARRISON PJ;DAGG M;MCKEE B";2008;COMPARISON OF HYPOXIA AMONG FOUR RIVER-DOMINATED OCEAN MARGINS: THE CHANGJIANG (YANGTZE), MISSISSIPPI, PEARL, AND RHONE RIVERS;CONTINENTAL SHELF RESEARCH;"OXYGEN HYPOXIA; CARBON CYCLE; COASTAL OCEANOGRAPHY; ESTUARIES; RIVER; PLUMES; NUTRIENTS; CONTINENTAL SHELVES"
AARTS BGW, 2004, RIVER RES APPL;NA;1,000000000000000;"AARTS BGW;VAN DEN BRINK FWB;NIENHUIS PH";2004;HABITAT LOSS AS THE MAIN CAUSE OF THE SLOW RECOVERY OF FISH FAUNAS OF REGULATED LARGE RIVERS IN EUROPE: THE TRANSVERSAL FLOODPLAIN GRADIENT;RIVER RESEARCH AND APPLICATIONS;"HABITAT LOSS; FISH GUILDS; REGULATED RIVERS; FLOODPLAIN; RHONE; DANUBE; RHINE; MEUSE"
HUSS M, 2011, WATER RESOUR RES;NA;1,000000000000000;HUSS M;2011;PRESENT AND FUTURE CONTRIBUTION OF GLACIER STORAGE CHANGE TO RUNOFF FROM MACROSCALE DRAINAGE BASINS IN EUROPE;WATER RESOURCES RESEARCH;NA
BRAVARD JP, 1986, OIKOS;c1;0,500000000000000;"BRAVARD JP;AMOROS C;PAUTOU G";1986;IMPACT OF CIVIL ENGINEERING WORKS ON THE SUCCESSIONS OF COMMUNITIES IN A FLUVIAL SYSTEM - A METHODOLOGICAL AND PREDICTIVE APPROACH APPLIED TO A SECTION OF THE UPPER RHONE RIVER, FRANCE;OIKOS;NA
BRAVARD JP, 1986, OIKOS;NA;0,500000000000000;"BRAVARD JP;AMOROS C;PAUTOU G";1986;IMPACT OF CIVIL ENGINEERING WORKS ON THE SUCCESSIONS OF COMMUNITIES IN A FLUVIAL SYSTEM - A METHODOLOGICAL AND PREDICTIVE APPROACH APPLIED TO A SECTION OF THE UPPER RHONE RIVER, FRANCE;OIKOS;NA
MARSTON RA, 1995, GEOMORPHOLOGY;c1;1,000000000000000;"MARSTON RA;GIREL J;PAUTOU G;PIEGAY H;BRAVARD C";1995;CHANNEL METAMORPHOSIS, FLOODPLAIN DISTURBANCE, AND VEGETATION DEVELOPMENT - AIN RIVER, FRANCE;GEOMORPHOLOGY;NA
PONT D, 2002, ESTUAR COAST SHELF SCI;c4;1,000000000000000;"PONT D;SIMONNET JP;WALTER AV";2002;MEDIUM-TERM CHANGES IN SUSPENDED SEDIMENT DELIVERY TO THE OCEAN: CONSEQUENCES OF CATCHMENT HETEROGENEITY AND RIVER MANAGEMENT (RHONE RIVER, FRANCE);ESTUARINE COASTAL AND SHELF SCIENCE;"SUSPENDED SOLID TRANSPORT; RHONE RIVER; CATCHMENT HETEROGENEITY; RIVER; MANAGEMENT"
